,Half Decade,variable,value
0,1995,Adventure,7
1,2000,Adventure,25
2,2005,Adventure,5
3,2010,Adventure,3
4,2015,Adventure,0
5,2020,Adventure,0
6,1995,Army,16
7,2000,Army,40
8,2005,Army,4
9,2010,Army,1
10,2015,Army,0
11,2020,Army,0
12,1995,Comics,3
13,2000,Comics,16
14,2005,Comics,34
15,2010,Comics,18
16,2015,Comics,12
17,2020,Comics,7
18,1995,Foreign,7
19,2000,Foreign,34
20,2005,Foreign,5
21,2010,Foreign,1
22,2015,Foreign,0
23,2020,Foreign,0
24,1995,Sci-Fi,1
25,2000,Sci-Fi,8
26,2005,Sci-Fi,4
27,2010,Sci-Fi,5
28,2015,Sci-Fi,13
29,2020,Sci-Fi,5
30,1995,TV/Film,4
31,2000,TV/Film,51
32,2005,TV/Film,17
33,2010,TV/Film,21
34,2015,TV/Film,25
35,2020,TV/Film,9
