,Year,Price IQR
0,1995,0.0
1,1996,20.005000000000003
2,1997,70.0
3,1998,7.494999999999997
4,1999,15.497500000000002
5,2000,8.759999999999998
6,2001,15.000000000000004
7,2002,10.000000000000004
8,2003,17.009999999999998
9,2004,17.5075
10,2005,9.979999999999997
11,2006,8.75
12,2007,12.519999999999996
13,2008,15.0
14,2009,74.9925
15,2010,10.0
16,2011,75.00000000000001
17,2012,30.0
18,2013,43.7525
19,2014,31.25
20,2015,50.99000000000001
21,2016,64.0
22,2017,80.25
23,2018,82.0
24,2019,106.245
25,2020,47.72749999999999
